rank,skill,total_enrollments,avg_pagerank,demand_score,courses_count,taught_in_courses
1,Algorithms,291654,0.16353,1,2,CS50: Introduction to Computer Science | Introduction to Computer Science and Programming
2,Data Structures,291654,0.16353,1,2,CS50: Introduction to Computer Science | Introduction to Computer Science and Programming
3,Software Engineering,291654,0.16353,1,2,CS50: Introduction to Computer Science | Introduction to Computer Science and Programming
4,Python,291654,0.16353,1,2,CS50: Introduction to Computer Science | Introduction to Computer Science and Programming
5,C Programming,169621,0.17056,1,1,CS50: Introduction to Computer Science
6,Databases & SQL,169621,0.17056,1,1,CS50: Introduction to Computer Science
7,Web Development,169621,0.17056,1,1,CS50: Introduction to Computer Science
8,Computational Thinking,122033,0.156499,0.7878,1,Introduction to Computer Science and Programming
9,Public Health,98998,0.0689,0.3741,2,Health in Numbers: Epidemiology and Statistics | Health in Numbers: Quantitative Methods
10,Epidemiology,98998,0.0689,0.3741,2,Health in Numbers: Epidemiology and Statistics | Health in Numbers: Quantitative Methods
11,Study Design,98998,0.0689,0.3741,2,Health in Numbers: Epidemiology and Statistics | Health in Numbers: Quantitative Methods
12,Statistics,98998,0.0689,0.3741,2,Health in Numbers: Epidemiology and Statistics | Health in Numbers: Quantitative Methods
13,Electrical Engineering,60491,0.098793,0.4065,1,Circuits and Electronics
14,Signal Processing,60491,0.098793,0.4065,1,Circuits and Electronics
15,Circuit Analysis,60491,0.098793,0.4065,1,Circuits and Electronics
16,Political Theory,57872,0.059623,0.1978,2,Justice | The Challenges of Global Poverty
17,Regression Analysis,57406,0.091003,0.3741,1,Health in Numbers: Quantitative Methods
18,Hypothesis Testing,57406,0.091003,0.3741,1,Health in Numbers: Quantitative Methods
19,Probability,57406,0.091003,0.3741,1,Health in Numbers: Quantitative Methods
20,Chemistry,41192,0.053894,0.1439,2,Introduction to Biology: The Secret of Life | Introduction to Solid State Chemistry
21,Environmental Health,39602,0.074326,0.2639,1,Human Health and Global Environmental Change
22,Infectious Diseases,39602,0.074326,0.2639,1,Human Health and Global Environmental Change
23,Food Security,39602,0.074326,0.2639,1,Human Health and Global Environmental Change
24,Electromagnetism,31048,0.080722,0.2499,1,Electricity and Magnetism
25,Ethics & Philosophy,30002,0.062904,0.1978,1,Justice
26,Classical Mechanics,29660,0.042114,0.1342,2,Introduction to Solid State Chemistry | Mechanics ReView
27,Development Economics,27870,0.056343,0.1723,1,The Challenges of Global Poverty
28,Field Research,27870,0.056343,0.1723,1,The Challenges of Global Poverty
29,Education Economics,27870,0.056343,0.1723,1,The Challenges of Global Poverty
30,Genetics,21009,0.055124,0.1439,1,Introduction to Biology: The Secret of Life
31,Molecular Biology,21009,0.055124,0.1439,1,Introduction to Biology: The Secret of Life
32,Materials Science,20183,0.052664,0.1342,1,Introduction to Solid State Chemistry
33,Thermodynamics,20183,0.052664,0.1342,1,Introduction to Solid State Chemistry
34,Structural Analysis,5665,0.022701,0,1,Elements of Structures
