path_id,domain,step_1_start_course,step_2_next_course,step_3_advanced_course,pagerank_score,association_confidence,bert_similarity,composite_score,rationale,skills_taught
1,STEM / Computer Science,CS50: Introduction to Computer Science,Introduction to Computer Science and Programming,Health in Numbers: Quantitative Methods,0.17056,0.5854,0.7835,0.8323,Start with 'CS50: Introduction to Computer Science' (PageRank #1). Students commonly move to 'Introduction to Computer Science and Programming' (confidence=0.5854). BERT identifies 'Health in Numbers: Quantitative Methods' as semantically aligned (similarity=0.7835).,Algorithms | Data Structures | Software Engineering | Python | C Programming | Databases & SQL | Web Development | Computational Thinking | Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability
2,STEM / Computer Science,Introduction to Computer Science and Programming,CS50: Introduction to Computer Science,Health in Numbers: Quantitative Methods,0.156499,0.5237,0.776,0.7648,Start with 'Introduction to Computer Science and Programming' (PageRank #2). Students commonly move to 'CS50: Introduction to Computer Science' (confidence=0.5237). BERT identifies 'Health in Numbers: Quantitative Methods' as semantically aligned (similarity=0.776).,Algorithms | Data Structures | Software Engineering | Python | Computational Thinking | C Programming | Databases & SQL | Web Development | Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability
3,STEM / Computer Science,Circuits and Electronics,Introduction to Computer Science and Programming,CS50: Introduction to Computer Science,0.098793,0.5854,0.931,0.6191,Start with 'Circuits and Electronics' (PageRank #3). Students commonly move to 'Introduction to Computer Science and Programming' (confidence=0.5854). BERT identifies 'CS50: Introduction to Computer Science' as semantically aligned (similarity=0.931).,Electrical Engineering | Signal Processing | Circuit Analysis | Algorithms | Data Structures | Software Engineering | Python | Computational Thinking | C Programming | Databases & SQL | Web Development
4,Health & Social Sciences,Health in Numbers: Quantitative Methods,Justice,Mechanics ReView,0.091003,0.1376,0.7918,0.4306,Start with 'Health in Numbers: Quantitative Methods' (PageRank #4). Students commonly move to 'Justice' (confidence=0.1376). BERT identifies 'Mechanics ReView' as semantically aligned (similarity=0.7918).,Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability | Political Theory | Ethics & Philosophy | Classical Mechanics
5,STEM / Computer Science,Electricity and Magnetism,Circuits and Electronics,Elements of Structures,0.080722,0.2916,0.8211,0.4479,Start with 'Electricity and Magnetism' (PageRank #5). Students commonly move to 'Circuits and Electronics' (confidence=0.2916). BERT identifies 'Elements of Structures' as semantically aligned (similarity=0.8211).,Electromagnetism | Electrical Engineering | Signal Processing | Circuit Analysis | Structural Analysis
6,Health & Social Sciences,Human Health and Global Environmental Change,Health in Numbers: Quantitative Methods,Health in Numbers: Epidemiology and Statistics,0.074326,0.1854,0.9373,0.4177,Start with 'Human Health and Global Environmental Change' (PageRank #6). Students commonly move to 'Health in Numbers: Quantitative Methods' (confidence=0.1854). BERT identifies 'Health in Numbers: Epidemiology and Statistics' as semantically aligned (similarity=0.9373).,Environmental Health | Infectious Diseases | Food Security | Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability
7,Health & Social Sciences,Justice,Health in Numbers: Quantitative Methods,Health in Numbers: Epidemiology and Statistics,0.062904,0.2632,0.9373,0.4024,Start with 'Justice' (PageRank #7). Students commonly move to 'Health in Numbers: Quantitative Methods' (confidence=0.2632). BERT identifies 'Health in Numbers: Epidemiology and Statistics' as semantically aligned (similarity=0.9373).,Political Theory | Ethics & Philosophy | Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability
8,Health & Social Sciences,The Challenges of Global Poverty,Health in Numbers: Quantitative Methods,Health in Numbers: Epidemiology and Statistics,0.056343,0.2189,0.9373,0.3669,Start with 'The Challenges of Global Poverty' (PageRank #8). Students commonly move to 'Health in Numbers: Quantitative Methods' (confidence=0.2189). BERT identifies 'Health in Numbers: Epidemiology and Statistics' as semantically aligned (similarity=0.9373).,Political Theory | Development Economics | Field Research | Education Economics | Public Health | Epidemiology | Study Design | Statistics | Regression Analysis | Hypothesis Testing | Probability
9,STEM / Computer Science,Introduction to Biology: The Secret of Life,CS50: Introduction to Computer Science,Introduction to Computer Science and Programming,0.055124,0,0.931,0.2958,Start with 'Introduction to Biology: The Secret of Life' (PageRank #9). Students commonly move to 'CS50: Introduction to Computer Science' (confidence=0.0). BERT identifies 'Introduction to Computer Science and Programming' as semantically aligned (similarity=0.931).,Chemistry | Genetics | Molecular Biology | Algorithms | Data Structures | Software Engineering | Python | C Programming | Databases & SQL | Web Development | Computational Thinking
10,STEM / Computer Science,Introduction to Solid State Chemistry,CS50: Introduction to Computer Science,Introduction to Computer Science and Programming,0.052664,0,0.931,0.2875,Start with 'Introduction to Solid State Chemistry' (PageRank #10). Students commonly move to 'CS50: Introduction to Computer Science' (confidence=0.0). BERT identifies 'Introduction to Computer Science and Programming' as semantically aligned (similarity=0.931).,Chemistry | Classical Mechanics | Materials Science | Thermodynamics | Algorithms | Data Structures | Software Engineering | Python | C Programming | Databases & SQL | Web Development | Computational Thinking
